CO_TAZID,SUBAREAID,CO_FIPS,CO_NAME,MedInc
110124.0,1.0,11.0,DAVIS,90926.0
110125.0,1.0,11.0,DAVIS,115517.0
110126.0,1.0,11.0,DAVIS,110755.0
110127.0,1.0,11.0,DAVIS,129551.0
110128.0,1.0,11.0,DAVIS,62417.0
110129.0,1.0,11.0,DAVIS,53418.0
110130.0,1.0,11.0,DAVIS,82933.0
110131.0,1.0,11.0,DAVIS,115517.0
110132.0,1.0,11.0,DAVIS,96372.0
110133.0,1.0,11.0,DAVIS,110207.0
110134.0,1.0,11.0,DAVIS,126875.0
110135.0,1.0,11.0,DAVIS,161079.0
110136.0,1.0,11.0,DAVIS,141359.0
110137.0,1.0,11.0,DAVIS,155705.0
110138.0,1.0,11.0,DAVIS,92434.0
110139.0,1.0,11.0,DAVIS,65278.0
110140.0,1.0,11.0,DAVIS,72379.0
110141.0,1.0,11.0,DAVIS,70833.0
110142.0,1.0,11.0,DAVIS,57488.0
110143.0,1.0,11.0,DAVIS,110551.0
110144.0,1.0,11.0,DAVIS,161079.0
110145.0,1.0,11.0,DAVIS,141359.0
110146.0,1.0,11.0,DAVIS,141359.0
110147.0,1.0,11.0,DAVIS,155705.0
110148.0,1.0,11.0,DAVIS,92434.0
110149.0,1.0,11.0,DAVIS,133676.0
110150.0,1.0,11.0,DAVIS,162435.0
110151.0,1.0,11.0,DAVIS,162435.0
110152.0,1.0,11.0,DAVIS,155705.0
110153.0,1.0,11.0,DAVIS,155705.0
110154.0,1.0,11.0,DAVIS,118899.0
110155.0,1.0,11.0,DAVIS,93133.0
110156.0,1.0,11.0,DAVIS,83178.0
110157.0,1.0,11.0,DAVIS,70833.0
110158.0,1.0,11.0,DAVIS,94296.0
110159.0,1.0,11.0,DAVIS,133754.0
110160.0,1.0,11.0,DAVIS,160500.0
110161.0,1.0,11.0,DAVIS,182174.0
110162.0,1.0,11.0,DAVIS,139401.0
110163.0,1.0,11.0,DAVIS,121292.0
110164.0,1.0,11.0,DAVIS,138331.0
110165.0,1.0,11.0,DAVIS,118899.0
110166.0,1.0,11.0,DAVIS,90192.0
110167.0,1.0,11.0,DAVIS,109556.0
110168.0,1.0,11.0,DAVIS,108438.0
110169.0,1.0,11.0,DAVIS,163988.0
110170.0,1.0,11.0,DAVIS,172422.0
110171.0,1.0,11.0,DAVIS,90192.0
110172.0,1.0,11.0,DAVIS,184801.0
110173.0,1.0,11.0,DAVIS,184801.0
110174.0,1.0,11.0,DAVIS,199875.0
110175.0,1.0,11.0,DAVIS,172422.0
110176.0,1.0,11.0,DAVIS,105113.0
110177.0,1.0,11.0,DAVIS,69626.0
110178.0,1.0,11.0,DAVIS,184801.0
110179.0,1.0,11.0,DAVIS,123709.0
110180.0,1.0,11.0,DAVIS,122318.0
110181.0,1.0,11.0,DAVIS,199875.0
110182.0,1.0,11.0,DAVIS,214950.0
110183.0,1.0,11.0,DAVIS,131378.0
110184.0,1.0,11.0,DAVIS,227917.0
110185.0,1.0,11.0,DAVIS,86804.0
110186.0,1.0,11.0,DAVIS,145968.0
110187.0,1.0,11.0,DAVIS,121337.0
110188.0,1.0,11.0,DAVIS,98750.0
110189.0,1.0,11.0,DAVIS,145198.0
110190.0,1.0,11.0,DAVIS,137196.0
110191.0,1.0,11.0,DAVIS,142738.0
110192.0,1.0,11.0,DAVIS,163023.0
110193.0,1.0,11.0,DAVIS,142500.0
110194.0,1.0,11.0,DAVIS,86804.0
110195.0,1.0,11.0,DAVIS,86804.0
110196.0,1.0,11.0,DAVIS,169091.0
110197.0,1.0,11.0,DAVIS,133561.0
110198.0,1.0,11.0,DAVIS,164729.0
110199.0,1.0,11.0,DAVIS,121486.0
110200.0,1.0,11.0,DAVIS,94306.0
110201.0,1.0,11.0,DAVIS,94306.0
110202.0,1.0,11.0,DAVIS,160655.0
110203.0,1.0,11.0,DAVIS,160655.0
110204.0,1.0,11.0,DAVIS,121486.0
110205.0,1.0,11.0,DAVIS,121486.0
110206.0,1.0,11.0,DAVIS,112788.0
110207.0,1.0,11.0,DAVIS,118520.0
110208.0,1.0,11.0,DAVIS,113583.0
110209.0,1.0,11.0,DAVIS,118520.0
110210.0,1.0,11.0,DAVIS,121932.0
110211.0,1.0,11.0,DAVIS,121932.0
